"Nombre","Latitud","Longitud"
"SECTOR TRES ZAPOPAN","20.60400009","-103.433998"
"SALUD ANIMAL SAN PEDRO TLAQUEPAQUE","20.604857","-103.381861"
"UMOM SAN PEDRO TLAQUEPAQUE","20.605866","-103.402205"
"CENTRO DE DIA BUGAMBILIAS ZAPOPAN","20.606061","-103.454182"
"BIBLIOTECA 7 TATEPOSCO SAN PEDRO TLAQUEPAQUE","20.606452","-103.259218"
"PROTECCION CIVIL ZAPOTLANEJO","20.610659","-103.085991"
"CENTRO DE SALUD CUISILLOS TALA","20.607956","-103.775872"
"SECTOR DE ZONA 4 SAN PEDRO TLAQUEPAQUE","20.607949","-103.395745"
"CAMPAMENTO KM7 SAN PEDRO TLAQUEPAQUE","20.6091136","-103.3265937"
"BIBLIOTECA 4 MIRAVALLE SAN PEDRO TLAQUEPAQUE","20.609119","-103.348545"
"CENTRO DE SALUD LAS JUNTAS SAN PEDRO TLAQUEPAQUE","20.609201","-103.337001"
"LAS HUERTAS SAN PEDRO TLAQUEPAQUE","20.610206","-103.303583"
"CENTRO DE SALUD FRANCISCO SARABIA ZAPOPAN","20.610201","-103.436001"
"ASEO PUBLICO SAN PEDRO TLAQUEPAQUE","20.610535","-103.281744"
"BIBLIOTECA LIC. CARLOS CASTILLO PEREZA GUADALAJARA","20.61146","-103.376908"
"BIBLIOTECA 2 LAS JUNTAS SAN PEDRO TLAQUEPAQUE","20.611731","-103.33094"
"ESTACION DE MONITOREO  ATMOSFERICO MIRAVALLE GUADALAJARA","20.61310389","-103.3434418"
"C.D.C. NO. 10 FRANCISCO SARABIA ZAPOPAN","20.613192","-103.431976"
"CENTRO DE SALUD NUEVA ESPANA GUADALAJARA","20.614501","-103.391001"
"BIBLIOTECA 11 SAN PEDRITO SAN PEDRO TLAQUEPAQUE","20.614883","-103.287757"
"CENTRO DE ATENCION PRIMARIA EN ADICCIONES NUEVA VIDA TONALA II TONALA","20.615593","-103.265129"
"CENTRO DE ATENCION PRIMARIA EN ADICCIONES NUEVA VIDA TLAQUEPAQUE SAN PEDRO TLAQUEPAQUE","20.615701","-103.295001"
"VIALIDAD Y TRANSITO MUNICIPAL ZAPOTLANEJO","20.615839","-103.069215"
"PROYECTOS Y CONSTRUCCIONES ZAPOTLANEJO","20.622048","-103.069187"
"CENTRO DE SALUD SAN PEDRITO SAN PEDRO TLAQUEPAQUE","20.616501","-103.288001"
"CENTRO DE SALUD POLANQUITO GUADALAJARA","20.617301","-103.373001"
"MIRAVALLE GUADALAJARA","20.617583","-103.344229"
"CENTRO DE SALUD ARBOLEDAS DEL SUR GUADALAJARA","20.617701","-103.385001"
"DISPENSARIO MEDICO Y CLINICA DENTAL DE LA ''U.A.P.S. ARTES PLASTICAS'' GUADALAJARA","20.617776","-103.344691"
"CENTRO DE SALUD SANTA ANA TEPETITLAN ZAPOPAN","20.619601","-103.457001"
"DELEGACION SANTA ANA TEPETITLAN ZAPOPAN","20.619708","-103.456375"
"BIBLIOTECA PUBLICA MUNICIPAL ZAPOPAN","20.619904","-103.456716"
"OFICIALIA NO. 10 SANTA ANA TEPETITLAN ZAPOPAN","20.619871","-103.456897"
"BIBLIOTECA SANTA ANA TEPETITLAN ZAPOPAN","20.619918","-103.459745"
"PROTECCION CIVIL SAN PEDRO TLAQUEPAQUE","20.620387","-103.305443"
"CENTRO DE SALUD SANTA CRUZ DE LAS HUERTAS TONALA","20.620917","-103.271028"
"C.D.C. NO. 3 SANTA ANA TEPETITLAN ZAPOPAN","20.6210404","-103.4558577"
"CENTRO DE SALUD LOS CAJETES ZAPOPAN","20.622101","-103.438001"
"CENTRO DE SALUD ECHEVERRIA GUADALAJARA","20.622418","-103.367719"
"AYUNTAMIENTO ZAPOTLANEJO","20.622541","-103.069373"
"BIBLIOTECA ESMERALDA VILLASENOR DE MATUTE GUADALAJARA","20.622767","-103.359995"
"PROGRAMAS SOCIALES ZAPOTLANEJO","20.622619","-103.069224"
"C.D.C. NO. 14 EL BRISENO ZAPOPAN","20.623308","-103.434765"
"CASA ADULTO MAYOR ZAPOTLANEJO","20.62361","-103.074743"
"CENTRO DE SALUD TONALA TONALA","20.623601","-103.242001"
"CENTRO DE SALUD EL BRISENO ZAPOPAN","20.624909","-103.439001"
"C.D.C. NO. 12 JARDINES DEL IXTEPETE ZAPOPAN","20.624893","-103.441746"
"RICARDO YANEZ TONALA","20.625075","-103.263623"
"DIF ZAPOTLANEJO","20.625367","-103.060255"
"SERVICIOS MEDICOS ZAPOTLANEJO","20.6275575","-103.071662"
"CADI ZAPOTLANEJO","20.6255","-103.060225"
"SAUZ GUADALAJARA","20.62610284","-103.3890955"
"TONALA TONALA","20.626797","-103.243084"
"CENTRO DE SALUD ZAPOTLANEJO DOCTOR CARLOS ALVAREZ ALVAREZ ZAPOTLANEJO","20.628601","-103.052001"
"BIBLIOTECA BEATRIZ HERNANDEZ GUADALAJARA","20.629032","-103.396806"
"CENTRO DE SALUD LOMA BONITA ZAPOPAN","20.629201","-103.405001"
"LOMAS DEL CAMICHIN TONALA","20.629278","-103.275029"
"CENTRO DE SALUD LOMAS DEL CAMICHIN TONALA","20.629401","-103.275001"
"ESTACION DE MONITOREO  ATMOSFERICO LAS AGUILAS ZAPOPAN","20.62960272","-103.4167725"
"SECTOR DE ZONA 1 SAN PEDRO TLAQUEPAQUE","20.629928","-103.315011"
"UNIDAD ESPECIALIZADA EN ATENCION OBSTETRICA Y CUIDADOS NEONATALES ZAPOTLANEJO","20.630901","-103.076001"
"BIBLIOTECA LAS AGUILAS ZAPOPAN","20.631153","-103.416977"
"OFICIALIA NO. 2 LAS AGUILAS ZAPOPAN","20.631699","-103.41672"
"PADRON Y LICENCIAS SAN PEDRO TLAQUEPAQUE","20.632082","-103.318773"
"LAS AGUILAS ZAPOPAN","20.632242","-103.415683"
"LAS AGUILAS ZAPOPAN","20.632303","-103.416172"
"CENTRO DE SALUD ALAMEDAS DE ZALATITAN TONALA","20.632401","-103.252001"
"SERVICIOS MEDICOS SAN PEDRO TLAQUEPAQUE","20.632354","-103.31703"
"UNIDAD DE EMERGENCIA CRUZ VERDE SUR ZAPOPAN","20.632393","-103.415653"
"CENTRO DE SALUD LA NOGALERA GUADALAJARA","20.632501","-103.343001"
"DIRECCION DE REGISTRO CIVIL NO. 1 SAN PEDRO TLAQUEPAQUE","20.632801","-103.315021"
"CAMIT SAN PEDRO TLAQUEPAQUE","20.633902","-103.289654"
"POLICIA ESCOLAR SAN PEDRO TLAQUEPAQUE","20.634204","-103.286687"
"DESARROLLO RURAL Y ECOLOGIA ZAPOTLANEJO","20.635726","-103.066755"
"CENTRO DE SALUD MIRAMAR ZAPOPAN","20.634901","-103.448001"
"TRANSPORTACION DE AGUA POTABLE EN PIPAS SAN PEDRO TLAQUEPAQUE","20.635015","-103.299276"
"JUZGADOS ADMINISTRATIVOS SAN PEDRO TLAQUEPAQUE","20.63591","-103.318829"
"INSTITUTO DE LA JUVENTUD SAN PEDRO TLAQUEPAQUE","20.636945","-103.290148"
"REGULARIZACION DE PREDIOS SAN PEDRO TLAQUEPAQUE","20.637348","-103.309814"
"SAV SAN PEDRO TLAQUEPAQUE","20.637484","-103.313736"
"C.D.C. NO. 24 MIRAMAR ZAPOPAN","20.637499","-103.450065"
"CENTRO DE SALUD URBANO SANTA ROSALIA SAN PEDRO TLAQUEPAQUE","20.637601","-103.290001"
"DIF SAN PEDRO TLAQUEPAQUE","20.638036","-103.289454"
"CONTABILIDAD Y GLOSA SAN PEDRO TLAQUEPAQUE","20.638351","-103.314374"
"OBRAS PUBLICAS SAN PEDRO TLAQUEPAQUE","20.63845","-103.310216"
"ATENCION TURISTICA SAN PEDRO TLAQUEPAQUE","20.638525","-103.311455"
"FISCALIA GENERAL DEL ESTADO DE JALISCO GUADALAJARA","20.638765","-103.361652"
"OFICINA DE REGISTRO CIVIL NO. 2 (CABECERA HIDALGO) SAN PEDRO TLAQUEPAQUE","20.638888","-103.30108"
"FISCALIA GENERAL DEL ESTADO DE JALISCO GUADALAJARA","20.63903","-103.361959"
"INSTITUTO DE LA MUJER SAN PEDRO TLAQUEPAQUE","20.639123","-103.310479"
"MUSEO REGIONAL DE LA CERAMICA SAN PEDRO TLAQUEPAQUE","20.639225","-103.314677"
"PROVEEDURIA SAN PEDRO TLAQUEPAQUE","20.63927","-103.30943"
"REGIDORES SAN PEDRO TLAQUEPAQUE","20.639283","-103.309791"
"FISCALIA GENERAL DEL ESTADO DE JALISCO GUADALAJARA","20.639345","-103.361556"
"FISCALIA GENERAL DEL ESTADO DE JALISCO GUADALAJARA","20.639377","-103.361758"
"ESTACION DE MONITOREO  ATMOSFERICO TLAQUEPAQUE SAN PEDRO TLAQUEPAQUE","20.6395355","-103.3126095"
"DEPOSITO VEHICULAR NO. 6 ZAPOPAN","20.639479","-103.443674"
"ARCHIVO MUNICIPAL GUADALAJARA","20.63968","-103.33081"
"HACIENDA MUNICIPAL SAN PEDRO TLAQUEPAQUE","20.640039","-103.31323"
"DIRECCION DE EGRESOS SAN PEDRO TLAQUEPAQUE","20.6402","-103.313731"
"DIRECCION DE CATASTRO SAN PEDRO TLAQUEPAQUE","20.640153","-103.313782"
"CASA DEL ARTESANO SAN PEDRO TLAQUEPAQUE","20.640189","-103.314454"
"CENTRO DE SALUD URBANO TLAQUEPAQUE ROSALES SAN PEDRO TLAQUEPAQUE","20.640901","-103.300001"
"TLAQUEPAQUE SAN PEDRO TLAQUEPAQUE","20.640937","-103.301357"
"BIBLIOTECA FLAVIO ROMERO VELAZCO SAN PEDRO TLAQUEPAQUE","20.640909","-103.31258"
"ASUNTOS INTERNOS SAN PEDRO TLAQUEPAQUE","20.640899","-103.317513"
"ACADEMIA MUNICIPAL SAN PEDRO TLAQUEPAQUE","20.641033","-103.313629"
"COORDINACION DE DELEGACIONES YAGENCIAS MPALES. SAN PEDRO TLAQUEPAQUE","20.641029","-103.317379"
"DIRECCION DE PATRIMONIO SAN PEDRO TLAQUEPAQUE","20.641185","-103.308748"
"SEGURIDAD PUBLICA SAN PEDRO TLAQUEPAQUE","20.641531","-103.300466"
"PATIO DE MAQUINARIA ZAPOPAN","20.6415512","-103.4427836"
"TEATRO DE CENTRO CULTURAL EL REFUGIO SAN PEDRO TLAQUEPAQUE","20.641785","-103.312744"
